nationalite,nombre,year,montant
TouristesEtrangers,5011729,2012,57835
TouristesEtrangers,5323333,2013,57614
TouristesEtrangers,5437453,2014,62034
TouristesEtrangers,5151704,2015,61150
TouristesEtrangers,5103204,2016,64226
TouristesEtrangers,5864917,2017,72127
TouristesEtrangers,6679101,2018,73039
TouristesEtrangers,7043006,2019,78654
TouristesEtrangers,1407994,2020,36364
France,1769710,2012,57835
France,1782056,2013,57614
France,1798190,2014,62034
France,1563568,2015,61150
France,1449757,2016,64226
France,1614011,2017,72127
France,1844397,2018,73039
France,1990813,2019,78654
France,412179,2020,36364
Espagne,730882,2012,57835
Espagne,682834,2013,57614
Espagne,683761,2014,62034
Espagne,626896,2015,61150
Espagne,615720,2016,64226
Espagne,710729,2017,72127
Espagne,814069,2018,73039
Espagne,880818,2019,78654
Espagne,200136,2020,36364
Royaume-Uni,357347,2012,57835
Royaume-Uni,403325,2013,57614
Royaume-Uni,476550,2014,62034
Royaume-Uni,504475,2015,61150
Royaume-Uni,458561,2016,64226
Royaume-Uni,486262,2017,72127
Royaume-Uni,510516,2018,73039
Royaume-Uni,551499,2019,78654
Royaume-Uni,113258,2020,36364
Allemagne,199349,2012,57835
Allemagne,237852,2013,57614
Allemagne,255124,2014,62034
Allemagne,286328,2015,61150
Allemagne,260255,2016,64226
Allemagne,331185,2017,72127
Allemagne,394328,2018,73039
Allemagne,413384,2019,78654
Allemagne,79077,2020,36364
Italie,196186,2012,57835
Italie,234912,2013,57614
Italie,254209,2014,62034
Italie,227961,2015,61150
Italie,219334,2016,64226
Italie,246312,2017,72127
Italie,305505,2018,73039
Italie,351916,2019,78654
Italie,57105,2020,36364
EtatsUnis,140045,2012,57835
EtatsUnis,160033,2013,57614
EtatsUnis,167267,2014,62034
EtatsUnis,181468,2015,61150
EtatsUnis,197858,2016,64226
EtatsUnis,254531,2017,72127
EtatsUnis,304960,2018,73039
EtatsUnis,346702,2019,78654
EtatsUnis,54103,2020,36364
Belgique,255290,2012,57835
Belgique,272593,2013,57614
Belgique,267308,2014,62034
Belgique,243815,2015,61150
Belgique,238984,2016,64226
Belgique,259658,2017,72127
Belgique,273535,2018,73039
Belgique,272328,2019,78654
Belgique,40603,2020,36364
