province,year,visitors
Marrakech Mnara,2012,1704466
Marrakech Mnara,2013,1945749
Marrakech Mnara,2014,2127712
Marrakech Mnara,2015,2018946
Marrakech Mnara,2016,1836803
Marrakech Mnara,2017,2039428
Marrakech Mnara,2018,2554542
Marrakech Mnara,2019,3093694
Marrakech Mnara,2020,657343
T.AIR,2012,6018566
T.AIR,2013,6691449
T.AIR,2014,6949937
T.AIR,2015,6772274
T.AIR,2016,6803955
T.AIR,2017,7619256
T.AIR,2018,8399533
T.AIR,2019,9081490
T.AIR,2020,2265090
A Mohammed V,2012,2072133
A Mohammed V,2013,2244025
A Mohammed V,2014,2287427
A Mohammed V,2015,2195330
A Mohammed V,2016,2302466
A Mohammed V,2017,2469405
A Mohammed V,2018,2545734
A Mohammed V,2019,2527306
A Mohammed V,2020,716387
A Agadir Almassira,2012,620892
A Agadir Almassira,2013,672779
A Agadir Almassira,2014,677415
A Agadir Almassira,2015,653281
A Agadir Almassira,2016,618100
A Agadir Almassira,2017,739447
A Agadir Almassira,2018,864229
A Agadir Almassira,2019,874336
A Agadir Almassira,2020,194983
A Tanger Ibn Battouta,2012,520313
A Tanger Ibn Battouta,2013,552301
A Tanger Ibn Battouta,2014,504430
A Tanger Ibn Battouta,2015,514425
A Tanger Ibn Battouta,2016,569166
A Tanger Ibn Battouta,2017,711604
A Tanger Ibn Battouta,2018,692511
A Tanger Ibn Battouta,2019,697941
A Tanger Ibn Battouta,2020,190007
A Fes-Saiss,2012,308680
A Fes-Saiss,2013,373996
A Fes-Saiss,2014,379615
A Fes-Saiss,2015,418920
A Fes-Saiss,2016,410869
A Fes-Saiss,2017,492418
A Fes-Saiss,2018,541353
A Fes-Saiss,2019,574188
A Fes-Saiss,2020,162607
A Rabat-Sal,2012,165599
A Rabat-Sal,2013,216177
A Rabat-Sal,2014,328844
A Rabat-Sal,2015,330339
A Rabat-Sal,2016,408442
A Rabat-Sal,2017,420603
A Rabat-Sal,2018,428196
A Rabat-Sal,2019,462914
A Rabat-Sal,2020,104383
A Laaroui,2012,335068
A Laaroui,2013,329741
A Laaroui,2014,296864
A Laaroui,2015,298765
A Laaroui,2016,318942
A Laaroui,2017,343139
A Laaroui,2018,335032
A Laaroui,2019,354843
A Laaroui,2020,117353
A Oujda,2012,201287
A Oujda,2013,242308
A Oujda,2014,246585
A Oujda,2015,240298
A Oujda,2016,235559
A Oujda,2017,270977
A Oujda,2018,287256
A Oujda,2019,291963
A Oujda,2020,69484
A Essaouira,2012,14192
A Essaouira,2013,41167
A Essaouira,2014,32073
A Essaouira,2015,33075
A Essaouira,2016,34593
A Essaouira,2017,43933
A Essaouira,2018,52265
A Essaouira,2019,60559
A Essaouira,2020,19236
A Oaurzazate,2012,20692
A Oaurzazate,2013,18355
A Oaurzazate,2014,18076
A Oaurzazate,2015,16895
A Oaurzazate,2016,13411
A Oaurzazate,2017,16720
A Oaurzazate,2018,21630
A Oaurzazate,2019,45003
A Oaurzazate,2020,10054
A Al Hoceima,2012,33036
A Al Hoceima,2013,25674
A Al Hoceima,2014,20047
A Al Hoceima,2015,21655
A Al Hoceima,2016,19360
A Al Hoceima,2017,28481
A Al Hoceima,2018,29194
A Al Hoceima,2019,36656
A Al Hoceima,2020,6143
T.MER,2012,1941411
T.MER,2013,1993108
T.MER,2014,2036256
T.MER,2015,2113132
T.MER,2016,2198274
T.MER,2017,2482494
T.MER,2018,2471635
T.MER,2019,2320959
T.MER,2020,293270
P Tanger Med,2012,1283665
P Tanger Med,2013,1255511
P Tanger Med,2014,1287987
P Tanger Med,2015,1306118
P Tanger Med,2016,1387661
P Tanger Med,2017,1425155
P Tanger Med,2018,1371880
P Tanger Med,2019,1258640
P Tanger Med,2020,179745
P Tanger,2012,453297
P Tanger,2013,497551
P Tanger,2014,504139
P Tanger,2015,496452
P Tanger,2016,478478
P Tanger,2017,594654
P Tanger,2018,659795
P Tanger,2019,670513
P Tanger,2020,64774
P Nador,2012,173138
P Nador,2013,202191
P Nador,2014,195402
P Nador,2015,200662
P Nador,2016,216609
P Nador,2017,349342
P Nador,2018,312585
P Nador,2019,315461
P Nador,2020,42625
T.TERRE,2012,1415179
T.TERRE,2013,1361707
T.TERRE,2014,1296751
T.TERRE,2015,1291356
T.TERRE,2016,1329502
T.TERRE,2017,1247594
T.TERRE,2018,1417540
T.TERRE,2019,1529811
T.TERRE,2020,219442
T Bab Sebta,2012,955716
T Bab Sebta,2013,927826
T Bab Sebta,2014,886907
T Bab Sebta,2015,879517
T Bab Sebta,2016,899747
T Bab Sebta,2017,865097
T Bab Sebta,2018,992323
T Bab Sebta,2019,1049168
T Bab Sebta,2020,157483
T Bni Anzar,2012,423511
T Bni Anzar,2013,400409
T Bni Anzar,2014,372393
T Bni Anzar,2015,381192
T Bni Anzar,2016,395602
T Bni Anzar,2017,348348
T Bni Anzar,2018,383462
T Bni Anzar,2019,435843
T Bni Anzar,2020,49863
